cid,smiles,action,action_gen
107847,C[C@H]([C@@H](C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)[C@@H](CO)NC(=O)[C@H](CC2=CC=C(C=C2)O)N)O,FULL AGONIST,AGONIST
108135,CC[C@H](C)[C@@H](C(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)N,FULL AGONIST,AGONIST
115077,C[C@@]12CCN([C@@H](C1(C)CCC(=O)CCC3CCCC3)CC4=C2C=C(C=C4)O)C,ANTAGONIST,ANTAGONIST
115335,CN([C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@@H]2C(=O)N)C(=O)[C@@H]3CCCN3C(=O)[C@H](CC4=CC=C(C=C4)O)N,FULL AGONIST,AGONIST
119029,CCN(CC)C(=O)C1=CC=C(C=C1)[C@H](C2=CC(=CC=C2)O)N3C[C@H](N(C[C@@H]3C)CC=C)C,AGONIST,AGONIST
197194,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3.Cl,AGONIST,AGONIST
431865,C1CCC(CC1)N2CCN(CC2)C(CC3=CC=CC=C3)C4=CC=CC=C4,AGONIST,AGONIST
443363,CSCC[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)N,AGONIST,AGONIST
443406,CC[C@@]12CCN([C@@H](C1(C)C)CC3=C2C=C(C=C3)O)CC4(CC4)O,ANTAGONIST,ANTAGONIST
443408,CC(C)([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,ANTAGONIST,ANTAGONIST
518962,CCCC(C)(C1CC23C=CC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)C)OC)O,FULL AGONIST,AGONIST
621174,CCCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,AGONIST,AGONIST
644019,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,OTHER
3082718,CN([C@H](CN1CCCC1)C2=CC=CC=C2)C(=O)CC3=CC(=C(C=C3)Cl)Cl,AGONIST,AGONIST
4644453,COC1=C(C=C(C=C1)C2N(CCS2)S(=O)(=O)C3=CC=C(C=C3)Cl)Br,POSITIVE,OTHER
5276854,CC1=CC(=C(C=C1)NCCCN)[N+](=O)[O-],,OTHER
5284569,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4,AGONIST,AGONIST
5284570,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,AGONIST,AGONIST
5284594,C=C1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC6CC6)O,ANTAGONIST,ANTAGONIST
5284595,C=CCN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,ANTAGONIST,ANTAGONIST
5284596,C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,ANTAGONIST,ANTAGONIST
5284603,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O,AGONIST,AGONIST
5284604,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,AGONIST,AGONIST
5288826,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,AGONIST,AGONIST
5311018,COC(=O)/C=C/C(=O)N[C@@H]1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC6CC6)O,ANTAGONIST,ANTAGONIST
5311058,C[C@H]([C@H]1C(=O)N[C@@H](C(SSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)[C@@H](CC5=CC=CC=C5)N)(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N)O,ANTAGONIST,ANTAGONIST
5311080,C1C[C@H](N(C1)C(=O)[C@H](CC2=CC=C(C=C2)O)N)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N,FULL AGONIST,AGONIST
5311356,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OCCN6CCOCC6)O[C@H]3[C@H](C=C4)O,ANTAGONIST,ANTAGONIST
5359271,CCOC1=C2C3=C(C[C@@H]4[C@H]5[C@]3(CCN4C)[C@@H](O2)[C@H](C=C5)O)C=C1,AGONIST,AGONIST
5359272,CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O,AGONIST,AGONIST
5359390,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O.Cl,AGONIST,AGONIST
5359421,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](CC4)O,FULL AGONIST,AGONIST
5360515,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,ANTAGONIST,ANTAGONIST
5360696,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,AGONIST,AGONIST
5360733,C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O)O.Cl,AGONIST,AGONIST
5361917,C[N+]1(CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6.[Br-],ANTAGONIST,ANTAGONIST
5361918,C[N+]1(CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6,ANTAGONIST,ANTAGONIST
5388881,C=C1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC6CC6)O.Cl,ANTAGONIST,ANTAGONIST
5462328,CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C,AGONIST,AGONIST
5462347,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4.Cl,AGONIST,AGONIST
5462350,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O.Cl,AGONIST,AGONIST
5462471,C[C@H](C(=O)NCC(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCO)NC(=O)[C@H](CC2=CC=C(C=C2)O)N,FULL AGONIST,AGONIST
5462508,C1CN[C@@H]2CC3=C4[C@@]15[C@H]2C=C[C@@H]([C@@H]5OC4=C(C=C3)O)O,FULL AGONIST,AGONIST
5464092,C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O.Cl,ANTAGONIST,ANTAGONIST
5480230,C1CC1CN2CC[C@]34[C@@H]5C6=C(C[C@]3([C@H]2CC7=C4C(=C(C=C7)O)O5)O)C8=C(N6)[C@H]9[C@@]12CCN([C@@H]([C@@]1(C8)O)CC1=C2C(=C(C=C1)O)O9)CC1CC1,ANTAGONIST,ANTAGONIST
5485201,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O.Cl,ANTAGONIST,ANTAGONIST
5486827,C1CC1CN2CC[C@]34[C@@H]5C6=C(C[C@]3([C@H]2CC7=C4C(=C(C=C7)O)O5)O)C8=CC=CC=C8O6,ANTAGONIST,ANTAGONIST
5488548,C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(=O)O,ANTAGONIST,ANTAGONIST
5497186,C1CC1CN2CC[C@]34[C@@H]5C6=C(C[C@]3([C@H]2CC7=C4C(=C(C=C7)O)O5)O)C8=CC=CC=C8N6,ANTAGONIST,ANTAGONIST
6321225,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.O.O.O.O.O.OS(=O)(=O)O,AGONIST,AGONIST
6432394,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl,AGONIST,AGONIST
6438353,C1CC1CN2CC[C@]34[C@@H]5C(=O)/C(=C\C6=CC=CC=C6)/C[C@]3([C@H]2CC7=C4C(=C(C=C7)O)O5)O,ANTAGONIST,ANTAGONIST
6916249,C1CC[C@]2([C@@H]3CC4=C([C@@]2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,ANTAGONIST,ANTAGONIST
6917707,C[C@H](C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H](CC(C)C)C(=O)O)NC(=O)[C@H](CC2=CC=C(C=C2)O)N,FULL AGONIST,AGONIST
9601084,C=CCN1CC[C@]23[C@@H]4/C(=N/NC(=O)C5=CC=CC=C5)/CC[C@]2([C@H]1CC6=C3C(=C(C=C6)O)O4)O,ANTAGONIST,ANTAGONIST
9813414,CN(C)C[C@@H]1CCCC[C@H]1C2=CC(=CC=C2)O,AGONIST,AGONIST
9829352,C[C@H](C(=O)N[C@@H](CC1=CC=C(C=C1)F)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N)NC(=O)[C@H](CC3=CC=C(C=C3)O)N,AGONIST,AGONIST
9838021,CC[C@@H](C1=CC(=CC=C1)O)[C@@H](C)CN(C)C.Cl,AGONIST,AGONIST
9838022,CC[C@@H](C1=CC(=CC=C1)O)[C@@H](C)CN(C)C,AGONIST,AGONIST
9841259,CCN(CC)C(=O)C1=CC=C(C=C1)C(=C2CCNCC2)C3=CC=CC=C3,AGONIST,AGONIST
9848989,C[C@]([C@H]1C[C@@]23CC[C@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O.Cl,AGONIST,AGONIST
9887077,CC1=CC=CC=C1C(C2=CC=CC=C2C)N3C4CCC3CC(C4)(C5=CC=CC=C5)O,AGONIST,AGONIST
9953630,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.O.OP(=O)(O)O,AGONIST,AGONIST
9971980,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl,AGONIST,AGONIST
10452732,COC1=C(C=CC(=C1)CNCCC2CCOCC2)OC3=NC=C(N=C3)C(=O)N,ANTAGONIST,ANTAGONIST
10457387,C1COCCC1CCNCC2=CC(=C(C=C2)OC3=NC=C(C=C3)C(=O)N)F,ANTAGONIST,ANTAGONIST
10864183,CC1=CC(=CC(=C1C[C@@H](C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)NCC(=O)NCC4=CC=CC=C4)N)C)O,AGONIST,AGONIST
10918703,CC1=CC(=CC(=C1C[C@@H](C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)N[C@@H](CC(=O)O)C4=NC5=CC=CC=C5N4)N)C)O,AGONIST,AGONIST
11154544,CCC1([C@H]2[C@@H]1CN(C2)CC3(CC4=CC=CC=C4C3)O)C5=CC(=CC=C5)NS(=O)(=O)C,ANTAGONIST,ANTAGONIST
11200189,CCN(CC)C(=O)C1=CC(=C(C=C1)C2=CC3(CCNCC3)OC4=CC=CC=C42)O,AGONIST,AGONIST
11250029,CC1=CC(=CC(=C1C[C@@H](C(=O)N(CC2=CC(=C(C=C2)OC)C(=O)O)[C@@H](C)C3=NC=C(N3)C4=CC=CC=C4)N)C)C(=O)N,AGONIST,AGONIST
11300448,CN(C)CC1CCC(CC1(C2=CC(=CC=C2)OC)O)O,AGONIST,AGONIST
11417954,CCN(CC)C(=O)C1=CC=C(C=C1)C2=CC3(CCNCC3)OC4=CC=CC(=C42)O,AGONIST,AGONIST
11667832,C1CC1CN2CC[C@]34CC(=O)CC[C@]3([C@H]2CC5=C4C(=C(C=C5)C(=O)N)O)O,ANTAGONIST,ANTAGONIST
11848225,CN(C)C1(CCC2(CC1)C3=C(CCO2)C4=C(N3)C=CC(=C4)F)C5=CC=CC=C5,AGONIST,AGONIST
16051988,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O.C(C(C(=O)O)O)(C(=O)O)O,ANTAGONIST,ANTAGONIST
16051989,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3.OP(=O)(O)O,AGONIST,AGONIST
16089915,C[N@@+]1(CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6,ANTAGONIST,ANTAGONIST
16133805,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)CNC(=O)CNC(=O)[C@H](CC5=CC=C(C=C5)O)N,FULL AGONIST,AGONIST
18601660,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](CC4)O.C(C(C(=O)O)O)(C(=O)O)O,AGONIST,AGONIST
20831727,CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O.C(C(C(=O)O)O)(C(=O)O)O.O.O,AGONIST,AGONIST
21155870,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.O.O.O.OS(=O)(=O)O,AGONIST,AGONIST
23724882,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O.CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O.C1=CC(=CC=C1C(=O)O)C(=O)O,AGONIST,AGONIST
24737629,C1C(CC2=CC=CC=C21)NCC3=C(C=C(C=C3F)C4=CC(=CC=C4)C5=NC=NN5)F,ANTAGONIST,ANTAGONIST
25075991,C[C@H]([C@@H](C(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)CNC(=O)CNC(=O)[C@H](CC3=CC=C(C=C3)O)N)O,FULL AGONIST,AGONIST
25077992,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)NC(CCCCN)C(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)CNC(=O)CNC(=O)[C@H](CC3=CC=C(C=C3)O)N,FULL AGONIST,AGONIST
44129648,CC1=CC(=CC(=C1)[C@@H]2CCCN2CC3=CC=C(C=C3)OC4=C(C=C(C=C4)C(=O)N)F)C,ANTAGONIST,ANTAGONIST
44309215,C[C@H]([C@H]1C(=O)N[C@@H](C(SSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN=C(N)N)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)[C@H](CC5=CC=CC=C5)N)(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N)O,ANTAGONIST,ANTAGONIST
45483651,CCC(C)[C@H]1C(=O)N[C@@H](CNC(=O)C[C@@H](C(=O)N[C@H](C(=O)N1)CCCN=C(N)N)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)CNC(=O)CNC(=O)[C@H](CC3=CC=C(C=C3)O)NCC4=CC=CC=C4)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCCN)C(=O)N,ANTAGONIST,ANTAGONIST
49843739,C1CC2CCC(C3=CC=CC(=C23)C1)N4CCC(CC4)N5C(=O)CC6=CC=CC=C65,AGONIST,AGONIST
53362094,C1CC1CN2CC[C@]34CC(=O)CC[C@]3([C@H]2CC5=C4C(=C(C=C5)C(=O)N)O)O.C([C@@H](C(=O)O)O)C(=O)O,ANTAGONIST,ANTAGONIST
53447387,C1CN(CCC1(C2=CC=CC=C2)C(=O)O)CCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,AGONIST,AGONIST
54732242,CC(C)(C1=NC(=NO1)C2=CC=CC=C2)NC(=O)C3=C([C@H]4[C@@]56CCN([C@@H]([C@@]5(C3)O)CC7=C6C(=C(C=C7)O)O4)CC8CC8)O,ANTAGONIST,ANTAGONIST
56837137,CC1=CC=C(C=C1)S(=O)(=O)O.CC(C)(C1=NC(=NO1)C2=CC=CC=C2)NC(=O)C3=C([C@H]4[C@@]56CCN([C@@H]([C@@]5(C3)O)CC7=C6C(=C(C=C7)O)O4)CC8CC8)O,ANTAGONIST,ANTAGONIST
56959086,COCCOCCOCCOCCOCCOCCOCCO[C@H]1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC=C)O.C(=O)(C(=O)O)O,ANTAGONIST,ANTAGONIST
56959087,COCCOCCOCCOCCOCCOCCOCCO[C@H]1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC=C)O,ANTAGONIST,ANTAGONIST
66553195,COC1=C(SC=C1)CNCC[C@]2(CCOC3(C2)CCCC3)C4=CC=CC=N4,AGONIST,AGONIST
67156338,C1CCC(CC1)CN(CCN2[C@@H]3CC[C@H]2CC(C3)C4=CC(=CC=C4)C(=O)N)C(=O)[C@H](CO)O,ANTAGONIST,ANTAGONIST
71452040,C1CC1CN(CCC2=CC=CC=C2)CCC3=CC(=CC=C3)O,AGONIST,AGONIST
71452041,C1CC(C1)CN(CCC2=CC=CC=C2)CCC3=CC(=CC=C3)O,AGONIST,AGONIST
71460944,CN1CC[C@]23[C@@H]4C5=C(C[C@]2([C@H]1CC6=C3C(=C(C=C6)O)O4)OCCCC7=CC=CC=C7)C=C(C=N5)C8=CC=C(C=C8)Cl,AGONIST,AGONIST
71484494,C[N@@+]1(CC[C@]23CC(=O)CC[C@]2([C@H]1CC4=C3C(=C(C=C4)C(=O)N)O)O)CC5CC5,ANTAGONIST,ANTAGONIST
73673720,CN1CC[C@]23[C@@H]4[C@H](CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O)OCCOCCOCCOCCOCCOCCOC,AGONIST,AGONIST
76322220,CN1CC[C@]23[C@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=CC4)OC(=O)C6=CC=CC=C6.Cl,AGONIST,AGONIST
91938095,CC(C)[C@@H](CN1CCC(CC1)C2=CC(=CC=C2)O)NC(=O)[C@H]3CC4=C(CN3)C=C(C=C4)O,ANTAGONIST,ANTAGONIST
121231403,C1=CC(=C(C(=C1)Cl)NC2=NC(=CS2)C3=CC=C(C=C3)N(O)O)Cl,POSITIVE,OTHER
121231404,CC1=CC=C(C=C1)S(=O)(=O)N2CCSC2C3=CC(=C(C=C3)OC)N(O)O,NEUTRAL,OTHER
121231405,COC1=C(C=CC(=C1)Br)C2N(CCS2)S(=O)(=O)C3=CC=C(C=C3)Cl,NEUTRAL,OTHER
121596705,C[C@@H](CC1=CSC=C1)NC(=O)NC[C@H](CC2=CC=C(C=C2)O)N(C)C,BIASED AGONIST,OTHER
127021145,C[C@@H](CC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N3CCCC3)N4CCOCC4,AGONIST,AGONIST
132990929,C1CCC(CC1)N2CCN(CC2)C(CC3=CC=CC=C3)C4=CC(=CC=C4)F,AGONIST,AGONIST
132990963,C1CCC(CC1)N2CCN(CC2)C(CC3=CC=CC=C3)C4=CC=C(C=C4)F,AGONIST,AGONIST
132990975,C1CCC(CC1)N2CCN(CC2)C(CC3=CC=CC=C3)C4=CC=CC=C4F,AGONIST,AGONIST
134156377,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4.C(C(C(=O)O)O)(C(=O)O)O.O.O,AGONIST,AGONIST
137434175,CCC1=CC2=C(C(=C(N=C2C(=C1)F)N3CCC(CC3)NC4CCOCC4)C5=NC(=NO5)C)C,ANTAGONIST,ANTAGONIST
145993966,CN1CC[C@]23[C@@H]4[C@H](CCC2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O)OCCOCCOCCOCCOCCOCCOC,AGONIST,AGONIST
